City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Conway,US,63.79,broken clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
145,Hithadhoo,MV,76.68,light rain,-0.6,73.0833,Scoop Guest House
146,San Quintin,MX,72.01,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
147,Dumas,US,69.94,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
148,Burns Lake,CA,53.76,broken clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
150,Smithers,CA,54.3,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
151,Beni Mazar,EG,79.56,clear sky,28.4962,30.8029,Link Co-Working space & Development center
152,Codrington,AU,53.49,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
153,Oum Hadjer,TD,76.01,overcast clouds,13.2954,19.6966, 
157,Do Gonbadan,IR,84.63,clear sky,30.3586,50.7981,مسافرخانه شادی
158,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
159,Bengkulu,ID,81.39,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
160,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
161,Saint-Pierre,RE,73.08,overcast clouds,-21.3393,55.4781,Alize Plage
162,Kabare,CD,64.06,overcast clouds,-2.4683,28.8242,Hôtel Panorama
164,Inhambane,MZ,74.89,clear sky,-23.865,35.3833,Oceano
165,Portland,US,68.05,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
166,Barinas,VE,73.44,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
168,Joshimath,IN,72.54,scattered clouds,30.5667,79.5667,Shivalik Camps & Resort
170,Sitka,US,53.49,overcast clouds,57.0531,-135.33,Westmark Sitka
171,Da Lat,VN,63.7,overcast clouds,11.9465,108.4419,YK Home Villa Dalat
172,Sakakah,SA,80.15,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
173,Touros,BR,72.86,clear sky,-5.1989,-35.4608,INN NEW HORIZON
174,Nicoya,CR,74.61,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
175,Ponta Do Sol,PT,70.43,overcast clouds,32.6667,-17.1,Hotel do Campo
176,Waddan,LY,82.35,clear sky,29.1614,16.139,محل الشريف محمد العايب
177,Campo Grande,BR,63.95,thunderstorm with rain,-20.4428,-54.6464,Residencial e Hotel Sênior Salmos 23
178,Half Moon Bay,US,63.1,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
180,Awbari,LY,82.0,clear sky,26.5921,12.7805,استراحة الشارب العائلي
181,Santa Maria,BR,54.28,clear sky,-29.6842,-53.8069,Hotel Morotin
182,Juan Aldama,MX,58.87,broken clouds,24.2908,-103.3944,Hotel Morales
183,Huangnihe,CN,73.65,few clouds,43.5583,128.0239,Jinxin Bathing Fashion Hotel
184,Havelock,US,68.94,overcast clouds,34.8791,-76.9013,Sherwood Motel
186,Port Elizabeth,ZA,64.69,light intensity drizzle,-33.918,25.5701,39 On Nile Guest House
187,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
188,Angoche,MZ,78.26,clear sky,-16.2325,39.9086,Guest House HESADA
189,Kaitangata,NZ,55.08,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
191,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
192,La Primavera,CO,74.01,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
194,Asyut,EG,85.71,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
197,Saldanha,ZA,56.01,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
203,Puerto Ayora,EC,65.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
204,Pafos,CY,69.58,few clouds,34.7667,32.4167,Elysium Hotel
205,Tumbes,PE,69.87,broken clouds,-3.5667,-80.4414,Wyndham Costa del Sol Tumbes
206,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
208,Takoradi,GH,74.37,light rain,4.8845,-1.7554,Raybow International Hotel
209,Mahibadhoo,MV,81.95,overcast clouds,3.7833,72.9667,Omadhoo Inn
210,La Ronge,CA,56.68,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
211,Sistranda,NO,55.36,broken clouds,63.7256,8.834,Hotell Frøya
212,Salinopolis,BR,78.12,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
214,Aksu,CN,78.4,clear sky,41.1231,80.2644,Pudong Holiday Hotel
215,Havre-Saint-Pierre,CA,50.36,mist,50.2334,-63.5986,Auberge Niapiskau 2
216,Trairi,BR,77.61,clear sky,-3.2778,-39.2689,janelas do mar
217,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
218,Guiberoua,CI,68.68,light rain,6.2392,-6.1727,HOTEL LAGOTCHÉ
220,Alofi,NU,78.06,light rain,-19.0595,-169.9187,Taloa Heights
221,Cravo Norte,CO,73.96,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
222,Cidreira,BR,58.21,clear sky,-30.1811,-50.2056,Hotel Castelo
223,Lata,PT,56.91,broken clouds,40.1629,-8.3327,Casa Maquia
224,Paso De Los Toros,UY,51.51,scattered clouds,-32.8167,-56.5167,Complejo Isabelino
225,Bundaberg,AU,73.22,light rain,-24.85,152.35,Takalvan Motel
226,Baruun-Urt,MN,72.68,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
227,East London,ZA,68.94,broken clouds,-33.0153,27.9116,Tu Casa
228,High Level,CA,59.83,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
229,Alta Floresta,BR,70.29,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
232,Ahipara,NZ,61.16,light rain,-35.1667,173.1667,Ahipara Holiday Park
233,Moengo,SR,74.43,broken clouds,5.6167,-54.4,Masanga
234,Tautira,PF,77.58,few clouds,-17.7333,-149.15,Pension Oaoa
