City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Kloulklubed,PW,7.0419,134.2556,75.7,75,100,6.13,moderate rain
110,Tuatapere,NZ,-46.1333,167.6833,54.01,84,94,1.61,overcast clouds
111,Manokwari,ID,-0.8667,134.0833,82.62,72,100,5.97,light rain
112,Nikolskoye,RU,59.7035,30.7861,40.78,95,38,3.24,scattered clouds
113,Ambatofinandrahana,MG,-20.55,46.8,60.26,39,0,5.32,clear sky
114,Sao Filipe,CV,14.8961,-24.4956,78.1,73,46,7.09,scattered clouds
115,Vaitape,PF,-16.5167,-151.75,79.09,73,6,13.27,clear sky
116,Puertollano,ES,38.6871,-4.1073,56.16,51,4,3.74,clear sky
117,Altamira,BR,-3.2033,-52.2064,71.87,89,13,0.76,few clouds
118,Stokmarknes,NO,68.5646,14.9108,48.16,81,0,8.05,clear sky
119,Batemans Bay,AU,-35.7167,150.1833,59.09,91,100,9.19,overcast clouds
120,Port Alfred,ZA,-33.5906,26.891,65.17,99,100,3.0,overcast clouds
121,Belaya Gora,RU,68.5333,146.4167,32.38,62,100,11.99,overcast clouds
122,Cockburn Town,TC,21.4612,-71.1419,82.35,79,15,19.24,few clouds
123,Vila Velha,BR,-20.3297,-40.2925,72.95,93,65,8.88,broken clouds
124,Emerald,AU,-23.5333,148.1667,85.55,21,100,12.59,light rain
125,Hay River,CA,60.8156,-115.7999,55.51,73,64,8.23,broken clouds
126,Paragominas,BR,-2.9667,-47.4833,71.1,88,6,2.48,clear sky
127,Westport,US,41.1415,-73.3579,59.86,78,31,3.0,scattered clouds
128,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,92,84,17.31,light rain
129,Peleduy,RU,59.6289,112.7406,39.85,62,87,2.84,overcast clouds
130,Flinders,AU,-34.5833,150.8552,67.28,79,24,14.63,few clouds
131,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.8,95,99,7.74,overcast clouds
